,content,city,date,id,n_repost,n_comment,n_like,influency
30916,大科技：新型工业化+人工智能+算力+卫星通信+半导体+华为+机器人，值得收藏！ ​​,韶关市,2024-02-29,仙女剑阿青,348,9,0.0,357.0
11874,"有可能成为中国的“英伟达”？
在 AI 算力时代的浪潮中，中国的 AI 芯片行业竞争激烈，众多企业都渴望在全球舞台上大放异彩。这些企业纷纷涌入 AI 芯片赛道，然而，谁能真正展现出实力，谁只是空口说白话呢？哪一家企业有可能成为中国的“英伟达”？让我们来深入分析一下几家主要公司。
首先，寒武纪的思元 590 芯片虽然与百度合作，但在“文心一言”中的应用规模较小，未能全面落地。此外，寒武纪曾是华为 NPU 的供应商，但后来被华为弃用。为了弥补自身的局限性，寒武纪采取了多元化的布局策略，然而这却引发了业务混乱，其定位也受到了外界的质疑。
其次，华为昇腾芯片在国内 AI 芯片市场表现优异，受到互联网大厂的认可，但其通用性有待提升。例如，昇腾 910 芯片不支持 32 位浮点，这限制了对某些大模型的训练。同时，其生态系统与英伟达的 CUDA 相比仍有差距。
再者，海光信息的海光 CPU 在国产处理器中通用性和产业生态良好，但其 DCU 面临产品更新换代的问题。
最后，其他新兴厂商如沐曦科技和壁仞科技，从公开性能指标来看，他们的芯片接近英伟达 H100 的水平。华为目前可以运行自身优化的大模型，而寒武纪在大模型训练方面相对较弱。海光的产品更新情况有待观察，而沐曦科技和壁仞科技能否达到英伟达 H100 的水平成为未来关键。尽管先进制程的瓶颈问题有所缓解，但产能问题仍需关注。",韶关市,2024-02-25,仙女剑阿青,66,5,0.0,71.0
6336,"#春节假期A股利好不断#今天两个大消息，湖南开了“解放思想”大会，广东召开高质量发展大会，这是积极的信号！我们改革开放40多年，一直在高速追赶，弯道超车，取得了很大的成就。但这几年感觉慢下来了，也出现了很多的问题，比如房地产的、股市的，就业消费的等等。

另外，这两天AI的新闻一个比一个爆炸，给我们带来很强的紧迫感。国内追赶了2年，但AI芯片依然被卡脖子，大模型也没能突破，中美差距反而更大了！是需要再来一次“解放思想”，释放生产力，才能实现高质量发展。

A股也一样，核心并非是股市本身的问题，更是定位和认知的问题。如果股市不“解放思想”寻求改变，只怕以后跟国足一样，会越来越差的！爱股君想说，大A要珍惜来之不易的换人良机，加快加大出清力度，提振市场信心，现在是非常好的时机。",韶关市,2024-02-18,陈斌有好股,26,26,0.0,52.0
5860,"今天两个大消息，湖南开了“解放思想”大会，广东召开高质量发展大会，这是积极的信号！我们改革开放40多年，一直在高速追赶，弯道超车，取得了很大的成就。但这几年感觉慢下来了，也出现了很多的问题，比如房地产的、股市的，就业消费的等等。

另外，这两天AI的新闻一个比一个爆炸，给我们带来很强的紧迫感。国内追赶了2年，但AI芯片依然被卡脖子，大模型也没能突破，中美差距反而更大了！是需要再来一次“解放思想”，释放生产力，才能实现高质量发展。

A股也一样，核心并非是股市本身的问题，更是定位和认知的问题。如果股市不“解放思想”寻求改变，只怕以后跟国足一样，会越来越差的！想说，大A要珍惜来之不易的换人良机，加快加大出清力度，提振市场信心，现在是非常好的时机。",韶关市,2024-02-18,马泽斌_,14,2,0.0,16.0
11455,"Sora概念+央国企AI+快手概念+人脸识别+短剧游戏+减速器概念龙头汇总
这些是近期热门概念，除了文生视频Sora概念、AI人工智能外，其他概念板块也表现较为活跃。 ​​",韶关市,2024-02-24,武汉女侠,10,1,0.0,11.0
7268,"【比亚迪打响春节后降价第一枪！比亚迪秦杀入7万元价格区间】2月18日，比亚迪股份有限公司董事长兼总裁王传福在广东省高质量发展大会上表示：“当前，汽车产业变革已进入深水区，电动化变革继续驶在快车道，智能化变革开始换挡提速。新能源汽车发展只会越跑越快，不会给我们停下来、慢下来、喘口气的机会。”

时隔一天，比亚迪宣布推出秦PLUS荣耀版和驱逐舰05荣耀版两款车型，起售价双双降至7.98万元。值得一提的是，一年前的2023年2月，同样是比亚迪，与特斯拉双双发起价格战，其中秦PLUS DM-i版本首次将价格降至10万以内。价格攻势也让秦PLUS成为2023年中国A级轿车市场最畅销的产品，去年累计销量超过40万辆。

此番降价之后，秦PLUS荣耀版的起售版创造了行业内同级别插电式混合动力轿车价格的新低，已经与别克、长安等合资与自主燃油轿车价格接近。记者同时了解到，比亚迪此番降价引起行业内密切关注，多家车企正在研究对策，不排除会跟进降价。",韶关市,2024-02-19,股市范冰氷,0,11,0.0,11.0
16917,"东方精工

1.周二缩量一字板，三连板。机器人自动化相关概念，或市场资金认可度较高，有风向标作用。

2.当前有望继续连板，有望6板或7板。

3.若市场情绪转弱，则应降低预期。

4.可考虑排板入场。但同时应充分意识到其中的风险。

#广东短线牛股王# 实盘每个交易日更新，欢迎大家持续关注，互动交流 ​​",韶关市,2024-02-27,广东短线牛魔王,3,2,0.0,5.0
9209,"比亚迪今日宣布，王朝网旗下秦PLUS荣耀版正式上市，售价为7.98万元起。比亚迪汽车官博发文表示，电比油低，比亚迪出“王炸”，秦PLUS驱逐舰05，7.98万起插混双雄荣耀出击。从官方公布的售价来看，秦PLUS DM-i 7.98万元起、秦PLUS EV 10.98万元起 。

比亚迪董事长兼总裁王传福2月18日在广东省高质量发展大会上表示，我国新能源汽车产销量已连续9年全球第一，占到全球60%以上比重，新能源汽车发展进一步提速，预计今年新能源汽车单月渗透率将超过50%。",韶关市,2024-02-19,短线强势牛魔王,3,1,0.0,4.0
11666,#ParadoxLive[超话]#推推三丽鸥吧唧g卡拍立得 ​​,韶关市,2024-02-25,溺缄海默,0,4,0.0,4.0
8050,"王传福预判新能源汽车发展趋势

在2024年2月18日广东省高质量发展大会上，比亚迪董事长兼总裁王传福的发言强调了新能源汽车发展的迅猛趋势。

王传福认为新能源汽车行业发展不会减速或停滞，相反会“越跑越快”，不存在停下来、慢下来、喘口气的机会。他对新能源汽车行业持积极乐观的态度，并预期在技术创新和市场需求的推动下，新能源汽车产销量将继续保持高速增长。

王传福还提到，新能源汽车在中国市场的普及速度和规模效应将进一步增强。同时，电动化变革继续快速推进，智能化变革也开始加速，为比亚迪这样的企业带来了三大发展机遇。",韶关市,2024-02-19,万点妖,0,3,0.0,3.0
