,content,city,date,id,n_repost,n_comment,n_like,influency
24229,"#女教师办公室殴打学生#2月28日，湖南湘潭，网传湘乡市栗山镇金泉学校一名女老师在办公室里殴打学生。
殴打的过程被今天一个新来老师曝光拍到了网上，湖南教育局打算怎么处理？整顿教育环境，还是得靠00后的年轻人曝光.... ​​​",茂名市,2024-02-28,白夜菌Dream,57,162,0.0,219.0
17194,"听说是全新玩法儿耶[奥特曼]
希望宝宝玩得开心吖[求关注]

@王鹤棣_Dylan 
#全员加速中 重录# 💜#王鹤棣录制全员加速中#",茂名市,2024-02-27,大头章鱼-Dylan,10,43,0.0,53.0
28273,#韩国医生若辞职须立刻入伍#这肯定是谣言啊，韩国只有男医生辞职后须立即入伍。新闻和评论区是默认韩国没有女医生吗.....[允悲][允悲],茂名市,2024-02-29,白夜菌Dream,4,39,0.0,43.0
18416,"茂名也有美术馆啦 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 茂名·茂名陈金章美术馆 ​​",茂名市,2024-02-28,-cherry7,0,5,0.0,5.0
9223,#2024广东省高质量发展大会# ​​,茂名市,2024-02-19,龙哥八月天,1,1,0.0,2.0
153,"#高质量发展广东站C位# 
今天，春节假期后的首个工作日，广东省高质量发展大会在深圳召开。本次大会聚焦产业和科技互促双强，全面提升科技高水平自立自强能力，加快建设现代化产业体系，不断塑造发展新动能新优势。 ​​",茂名市,2024-02-18,一齐去超越,1,1,0.0,2.0
15295,每次出远门的路上时，我不会去玩手机刷视频，而是戴着耳机单曲循环🔂一首歌，盯着车窗外发呆，好像在想一些什么事情，但也不知道自己到底在想些什么·可能在想当初为什么不好好努力在离家近的地方上大学，想当初自己目标学校深圳大学能实现那该多好呢，恨自己术科分数过低… ​​,茂名市,2024-02-27,虾饺皇_ho10,0,2,0.0,2.0
19361,"#Pailiuuur[超话]#
day3好像没发进来超话。。昨天卡最后两分钟发的[单身狗] ​​",茂名市,2024-02-28,oooo_808,0,2,0.0,2.0
28217,"平静而冥想的治愈音乐插图，描绘一位年轻的中国女性，具有宁静之美。背景应展示桂林的经典景观，石灰岩喀斯特山脉和竹林，捕捉大自然宁静的精髓。女人应该被描绘成这个和谐环境的一部分，也许穿着传统服装，表情温柔、内省。图像应强调竹子的郁郁葱葱，柔和的光线透过树叶，以及远处桂林独特的山峰。
#chatgpt##提示词##ai绘画# <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 茂名·广东石油化工学院",茂名市,2024-02-29,AI绘画培训,2,0,0.0,2.0
26847,#广东专插本[超话]#求行政管理23年蚂蚁强化班习题的答案，后面7章的！！！我绷不住了全网找不到答案[苦涩]球球各位本科生了[悲伤] ​​,茂名市,2024-02-29,纠结00763,0,1,0.0,1.0
