,content,city,date,id,n_repost,n_comment,n_like,influency
1794,东南西北中，发财到广东，广大搬砖人齐聚广东共同拼搏，拼搏出了自己的美丽人生，也拼出了广东的辉煌！2023年广东的GDP突破13万亿，继续霸榜全国！更没有想到的是#广东成排名第一的旅游大省##高质量发展中国行#旅游收入照样第一！新年新气象，春节刚过广东就召开高质量发展大会，继续高质量发展之路！来！欢迎来广东，继续“拼”出一个更好的广东，也拼出一个更好的自己[加油][加油][加油]。#高质量发展广东站C位##读懂高质量发展就读懂了新广东# http://t.cn/A6YXGkxI,中山市,2024-02-18,舵手无畏,402,151,0.0,553.0
11483,"元宵节快乐🏮
出发去珠海玩儿啦～ ​​",中山市,2024-02-24,毅欣一意_成毅的果果欣欣欣宝儿,0,14,0.0,14.0
15064,🐴的 不知道用什么 用小田语录[允悲][ok] ​​,中山市,2024-02-27,于瑞雪同榆_想见田嘉瑞版,0,12,0.0,12.0
19176,#李羲承[超话]# 羲瓜子拼邮！车主坐标广东后续补电子专！ ​​,中山市,2024-02-28,BambiHees,0,11,0.0,11.0
11066,"2024.02.24 in SDlive focus @恋恋Renren-StarHoney  好可爱[哇][哇][哇] <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 广州·SD LIVEHOUSE ART PARTY 展演空间 ​​",中山市,2024-02-24,姓符的娃felix,3,6,0.0,9.0
10925,#虞书欣周边出收站[超话]# 帮忙点赞 点赞前三抽人给12.18和送祈今朝小卡！！！ ​​,中山市,2024-02-24,咕噜小羊ouo,0,6,0.0,6.0
27950,昨儿已经买好清明去玩儿的票 希望我的uu萌都抢到🚄票 不然我一个人在异乡哭发财了[挤眼][挤眼] ​​,中山市,2024-02-29,修型_,0,5,0.0,5.0
22122,#中山商业城建观察录# 今天是2月28号，“精造小榄、雅致菊城”城市定位轰轰烈烈发布一周年🔥，这战略耗资500万元发挥的巨深长作用你们感受到了么[疑问] ​​,中山市,2024-02-28,flmoon2020,0,4,0.0,4.0
28293,".           🐂 潮牛匠·地道潮汕鲜牛肉火锅 🐂

.                               #中山美食#  ​​​  ​
.                        ​        #牛肉火锅#   ​​​  ​​​   ​​​  ​​​  ​​​  ​​​  ​​​  ​​​  ​​​  ​  ​​​  ​​​  ​​​ <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 中山·兴中广场 ​​",中山市,2024-02-29,R的吃吃日食记,0,4,0.0,4.0
15015,完了我这辈子都要爱你了[悲伤]@成毅 ​​,中山市,2024-02-27,夏末枫柠_,0,3,0.0,3.0
4752,"高质量发展还得是广东！ 
#读懂高质量发展就读懂了新广东##高质量发展中国行# 
东南西北中，发财到广东，广大搬砖人齐聚广东共同拼搏，拼搏出了自己的美丽人生，也拼出了广东的辉煌！在大家的努力下，2023年广东的GDP突破13万亿，继续霸榜全国！此外低调的广东还是拥有两个全国一线城市的省份！而且广东还是第一旅游大省！旅游收入照样第一！新年新气象，春节刚过广东就召开高质量发展大会，继续高质量发展之路！来！欢迎来广东，继续“拼”出一个更好的广东，也拼出一个更好的自己[加油][加油][加油]。#高质量发展广东站C位# http://t.cn/A6YXGkxI",中山市,2024-02-18,舵手无畏,1,2,0.0,3.0
16966,平时已经一天一杯，今天直接怼两杯#霸王茶姬# 找我代言吧 ​​,中山市,2024-02-27,比胸照还贴心的男人,0,3,0.0,3.0
4965,"【#浙江新春第一会为啥聚焦人才#】
太拼了，原来除了广东新春第一天就开高质量发展大会，浙江也开了！这个是培育“干部”“企业家”“劳动者”三支队伍。不得不说，人家包邮地区就是有眼光！两者共同特点都是聚人才！直白点就是“抢人”#开年第一弹智造业强省#中山在行动，网友：市镇两级都这么拼，广东值得来！
 #高质量发展广东站C位 #,#读懂高质量发展就读懂了新广东# http://t.cn/A6Ya6e2e",中山市,2024-02-18,舵手无畏,2,1,0.0,3.0
2075,"#开年第一弹智造业强省#中山在行动，
市：以深中“六个一体化”推动深圳香港等科创+中山制造：“科创强市15条""，50亿元推动传统制造业技改，打造湾区光谷。 
港口镇：将落实“强中心”战略，加速建设岐江新城重大产业平台。 
从省到镇都这么拼，还有谁能有广东拼？幸福广东就是拼出来的[加油][加油][加油]
网友：市镇两级都这么拼，广东值得来！
 #高质量发展广东站C位 #,#读懂高质量发展就读懂了新广东# http://t.cn/A6Ya6e2e",中山市,2024-02-18,舵手无畏,2,1,0.0,3.0
11013,"上次到深圳北都是三年前了[嘻嘻] <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 深圳·深圳北站 ​​",中山市,2024-02-24,宇是妖精,0,2,0.0,2.0
12293,"不知道啥情况，G6107晚点77分钟[允悲][允悲][允悲][允悲][允悲]G6108应该是这个车返程车，今晚估计得住长沙了[允悲][允悲][允悲] <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 中山·中山站 ​​",中山市,2024-02-25,甲叔是正经叔,0,2,0.0,2.0
13241,"今天去中介那里拿id995a表格 把资料全部理好寄去香港咯 很好笑的是 我没看到港澳台快递入口 就以为小程序寄不了 满城跑找顺丰网点 最后突然发现是自己傻了
嘿嘿 在环雅上榜啦
拿到新眼镜 好清晰的世界 清晰的我都不习惯了思密达
一点点的茉莉奶绿 真的很好喝 谁懂…和四季奶青一样绝
好癫的广理 好癫的酒店 好癫的专四专八 6月份考六级的时候才145 现在214 我请问呢",中山市,2024-02-26,港硕给我个offer吧,0,2,0.0,2.0
3924,"今天广东全省高质量发展大会在深圳国际会展中心隆重召开，中共广东省委黄坤明书记广东省省长王伟中和山东籍深圳市委孟凡利书记&深圳湾实验室主任颜宁院士等出席👏
​ps:偷偷去吃芭乐的冰淇淋🍦[阴险]
​ ​​",中山市,2024-02-18,简寓工作室,1,1,0.0,2.0
29640,"午餐:豆干肉丝，白菜 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 中山·古四村 ​​",中山市,2024-02-29,玫心如夢33,0,2,0.0,2.0
30139,"每天都很自律 但我这个星期想吃大餐[送花花] <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 中山 ​​",中山市,2024-02-29,iyimk,0,2,0.0,2.0
702,黄坤明同志在广东省高质量发展大会上的讲话实录（2024）#360浏览器#http://t.cn/A6YaMHVP ​​,中山市,2024-02-18,渐渐上__龙,0,1,0.0,1.0
154,"#开年第一弹智造业强省#，#高质量发展中国行# 
中山市：以深中“六个一体化”推动深圳香港等科创+中山制造：“科创强市15条""，50亿元推动传统制造业技改，打造湾区光谷。 
港口镇：将落实“强中心”战略，加速建设岐江新城重大产业平台。 
从省到镇都这么拼，还有谁能有广东拼？幸福广东就是拼出来的[加油][加油][加油]
网友：市镇两级都这么拼，广东值得来！
 #高质量发展广东站C位 #,#读懂高质量发展就读懂了新广东# http://t.cn/A6Ya6e2e",中山市,2024-02-18,舵手无畏,0,1,0.0,1.0
10958,"今晚海天公园元宵活动期间，交警叔叔全程无缝指挥交通，让密集的车流及人流得以非常的顺畅保驾护航，点赞！[嘻嘻][赞][鲜花]

图片来源：珠海传媒集团 ​​",中山市,2024-02-24,珠海小黎,1,0,0.0,1.0
14063,啊啊啊啊啊啊啊！！好想死啊！！我才发现我把杨老板屏蔽了[泪][泪][泪]好尴尬啊！！！！ ​​,中山市,2024-02-26,KT有个秘密基地,0,1,0.0,1.0
18143,"突然感觉空气很甜[抱一抱]
嗯，原来是草莓味🍓的空气[爱你]
同ip了[哈哈]
欢迎来到大广东[亲亲]@摩登兄弟刘宇宁",中山市,2024-02-28,NN·小短腿nn姐姐,0,1,0.0,1.0
24573,"今天放纵餐！
午餐满配的麦当劳，晚餐蜜汁鸡腿加手撕鸡，今天的放纵餐好伤荷包[苦涩]
晚餐后轻松跑个3公里，进步好大，掂啊！ <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 中山·中山奥园 ​​",中山市,2024-02-28,Liu子胜,0,1,0.0,1.0
1242,新春第一会！广东省高质量发展大会18日召开 http://t.cn/A6YXgelJ ​​,中山市,2024-02-18,开矿201811,0,1,0.0,1.0
193,#开工第一天精神状态话题##2024广东省高质量发展大会##360浏览器#http://t.cn/A6YahNsh ​​,中山市,2024-02-18,渐渐上__龙,0,1,0.0,1.0
17756,自己看吧，两次用王八黄色大饼，还觉得自己无辜。还有一条转发有是用了三个黄色大饼，现在看着已经删掉。  （这个点编辑是我喝多了，刚刚打错字）,中山市,2024-02-27,他三岁半呀,1,0,0.0,1.0
23037,"走 走 停 停👣 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 中山 ​​",中山市,2024-02-28,捨予叁金-,0,1,0.0,1.0
13444,"乱糟糟的日常🧩 <img style=""width: auto !important"" src=""http://files.yqt365.com/ddww.png""> 中山 ​​",中山市,2024-02-26,子猫吃想丸鱼,0,1,0.0,1.0
